Magic_Number,Symbol,Signal,Entry_Price,Stop_Loss,Take_Profit,Volume,Confidence,Risk_Reward,Expiry,Comment
123450,EURUSD,BUY,1.11113,1.10688,1.11988,0.04,0.87,2.06,2025-10-23 22:32:23,GenX_BUY_EURUSD
123451,XAUCAD,BUY,3621.79459,3621.79004,3621.80135,0.08,0.76,1.49,2025-10-23 22:48:23,GenX_BUY_XAUCAD
123452,USDCAD,BUY,1.36113,1.35812,1.36559,0.04,0.76,1.48,2025-10-23 22:40:23,GenX_BUY_USDCAD
123453,EURUSD,SELL,1.10169,1.10634,1.09286,0.02,0.89,1.9,2025-10-23 22:25:23,GenX_SELL_EURUSD
123454,XAUUSD,BUY,2650.91539,2650.91093,2650.92449,0.03,0.78,2.04,2025-10-23 22:45:23,GenX_BUY_XAUUSD
123455,USDJPY,SELL,150.22789,150.59014,149.41095,0.06,0.76,2.26,2025-10-23 22:27:23,GenX_SELL_USDJPY
123456,XAUAUD,BUY,4068.66759,4068.66487,4068.67667,0.01,0.76,3.34,2025-10-23 22:13:23,GenX_BUY_XAUAUD
123457,XAUUSD,BUY,2663.18312,2663.17915,2663.19257,0.09,0.92,2.38,2025-10-23 22:14:23,GenX_BUY_XAUUSD
123458,XAUGBP,BUY,2105.37388,2105.36942,2105.3818,0.09,0.85,1.78,2025-10-23 22:11:23,GenX_BUY_XAUGBP
123459,XAUCAD,BUY,3634.10762,3634.10394,3634.11217,0.06,0.89,1.23,2025-10-23 22:13:23,GenX_BUY_XAUCAD
123460,USDCHF,BUY,0.88474,0.8812,0.89467,0.07,0.94,2.81,2025-10-23 22:32:23,GenX_BUY_USDCHF
123461,XAUEUR,SELL,2429.11457,2429.11749,2429.10828,0.05,0.77,2.15,2025-10-23 22:55:23,GenX_SELL_XAUEUR
123462,XAUAUD,SELL,4055.26621,4055.26946,4055.25988,0.08,0.83,1.95,2025-10-23 22:24:23,GenX_SELL_XAUAUD
123463,XAUCAD,BUY,3619.61807,3619.61567,3619.6278,0.07,0.86,4.04,2025-10-23 22:16:23,GenX_BUY_XAUCAD
123464,XAUAUD,BUY,4034.66429,4034.66154,4034.67399,0.08,0.84,3.52,2025-10-23 22:13:23,GenX_BUY_XAUAUD
